Entire_MM,Entire_FC,Entire_ATESC,Entire_ACD,Entire_EXP,Entire_FP,Entire_PE,Gross_Margin
1,1,1,1,0,1,0,0.875
1,0,1,1,1,1,1,0.817307692
0,1,1,1,1,1,1,0.677777778
1,1,1,0,0,0,1,0.766666667
0,0,1,1,1,1,1,0.71
0,0,1,0,1,1,1,0.7875
0,1,1,0,1,0,0,0.91
0,0,1,0,1,0,1,0.325
0,0,0,0,1,1,1,0.960416667
0,0,1,1,1,1,0,0.794117647
1,0,1,1,0,1,0,0.6125
1,0,1,0,1,0,0,0.817647059
0,0,0,1,0,1,0,0.845
1,0,0,1,1,0,1,0.892857143
1,0,0,1,1,1,1,0.90625
1,0,0,1,1,1,1,0.892857143
1,0,0,1,0,1,1,0.892857143
1,0,0,1,1,1,0,0.925
1,0,0,1,1,1,1,0.90625
1,0,0,1,1,0,1,0.915
1,0,0,1,0,0,1,0.869230769
1,0,0,1,1,0,1,0.892857143
1,0,0,1,1,1,1,0.925
1,0,0,1,0,0,1,0.88125
1,0,0,1,0,1,1,0.90625
0,0,0,1,1,1,1,0.916666667
0,0,0,1,0,0,1,0.878571429
1,0,0,1,1,1,1,0.915
1,0,0,1,1,0,1,0.9375
1,0,0,1,0,0,1,0.915
1,0,0,1,1,0,1,0.89375
1,0,0,1,0,1,1,0.89375
1,0,0,1,0,0,1,0.89375
1,0,0,1,0,0,1,0.89375
1,0,0,1,0,1,1,0.90625
1,0,0,1,0,0,1,0.892857143
1,0,0,1,1,0,1,0.89375
1,0,0,1,1,1,1,0.905555556
1,0,0,1,0,0,1,0.915
1,0,0,1,1,0,1,0.89375
1,0,0,1,1,0,1,0.905
1,0,0,1,1,0,1,0.915
1,0,0,1,1,0,0,0.915
